database,dataset,scale,variant,errors,time
neo4j,recommendations,1,full,none,TODO
neo4j,recommendations,1,full,none,TODO
neo4j,recommendations,1,full,none,TODO
neo4j,recommendations,1,boolean,none,TODO
neo4j,recommendations,1,boolean,none,TODO
neo4j,recommendations,1,boolean,none,TODO
neo4j,snb,0.1,full,none,TODO
neo4j,snb,0.1,full,none,TODO
neo4j,snb,0.1,full,none,TODO
neo4j,snb,0.1,boolean,none,TODO
neo4j,snb,0.1,boolean,none,TODO
neo4j,snb,0.1,boolean,none,TODO
neo4j,snb,0.1,boolean,single,TODO
neo4j,snb,0.1,boolean,single,TODO
neo4j,snb,0.1,boolean,single,TODO
neo4j,snb,0.1,boolean,half,TODO
neo4j,snb,0.1,boolean,half,TODO
neo4j,snb,0.1,boolean,half,TODO
neo4j,snb,0.3,full,none,TODO
neo4j,snb,0.3,full,none,TODO
neo4j,snb,0.3,full,none,TODO
neo4j,snb,0.3,boolean,none,TODO
neo4j,snb,0.3,boolean,none,TODO
neo4j,snb,0.3,boolean,none,TODO
neo4j,snb,1,full,none,TODO
neo4j,snb,1,full,none,TODO
neo4j,snb,1,full,none,TODO
neo4j,snb,1,boolean,none,TODO
neo4j,snb,1,boolean,none,TODO
neo4j,snb,1,boolean,none,TODO
janusgraph,recommendations,1,full,none,TODO
janusgraph,recommendations,1,full,none,TODO
janusgraph,recommendations,1,full,none,TODO
janusgraph,recommendations,1,boolean,none,TODO
janusgraph,recommendations,1,boolean,none,TODO
janusgraph,recommendations,1,boolean,none,TODO
janusgraph,snb,0.1,full,none,56211
janusgraph,snb,0.1,full,none,55600
janusgraph,snb,0.1,full,none,57408
janusgraph,snb,0.1,boolean,none,57065
janusgraph,snb,0.1,boolean,none,56964
janusgraph,snb,0.1,boolean,none,56188
janusgraph,snb,0.1,boolean,single,TODO
janusgraph,snb,0.1,boolean,single,TODO
janusgraph,snb,0.1,boolean,single,TODO
janusgraph,snb,0.1,boolean,half,TODO
janusgraph,snb,0.1,boolean,half,TODO
janusgraph,snb,0.1,boolean,half,TODO
tigergraph,recommendations,1,full,none,TODO
tigergraph,recommendations,1,full,none,TODO
tigergraph,recommendations,1,full,none,TODO
tigergraph,recommendations,1,boolean,none,TODO
tigergraph,recommendations,1,boolean,none,TODO
tigergraph,recommendations,1,boolean,none,TODO
tigergraph,snb,0.1,full,none,TODO
tigergraph,snb,0.1,full,none,TODO
tigergraph,snb,0.1,full,none,TODO
tigergraph,snb,0.1,boolean,none,TODO
tigergraph,snb,0.1,boolean,none,TODO
tigergraph,snb,0.1,boolean,none,TODO
tigergraph,snb,0.1,boolean,single,TODO
tigergraph,snb,0.1,boolean,single,TODO
tigergraph,snb,0.1,boolean,single,TODO
tigergraph,snb,0.1,boolean,half,TODO
tigergraph,snb,0.1,boolean,half,TODO
tigergraph,snb,0.1,boolean,half,TODO
tigergraph,snb,0.3,full,none,TODO
tigergraph,snb,0.3,full,none,TODO
tigergraph,snb,0.3,full,none,TODO
tigergraph,snb,0.3,boolean,none,TODO
tigergraph,snb,0.3,boolean,none,TODO
tigergraph,snb,0.3,boolean,none,TODO
tigergraph,snb,1,full,none,TODO
tigergraph,snb,1,full,none,TODO
tigergraph,snb,1,full,none,TODO
tigergraph,snb,1,boolean,none,TODO
tigergraph,snb,1,boolean,none,TODO
tigergraph,snb,1,boolean,none,TODO
